region,countryname,spending,gdp_growth
Latam,Brazil,2.136946832876581,5.730656483594108
Latam,Chile,3.031569228569958,4.637518078088759
Latam,Colombia,3.593392936709515,4.506526676813762
Europe,Germany,1.160571458973932,4.940802846636091
Multi-Country,East Asia & Pacific,4.733799716286437,3.388132705789691
Multi-Country,European Union,1.310734463940934,4.917423206217147
Europe,Finland,.73309277747307,6.536484718322754
Europe,United Kingdom,1.327556230728693,5.36783930460612
Asia,"Korea, Rep.",3.151395573033732,4.717597424983979
Multi-Country,Latin America & Caribbean (excluding high income),2.189992271829876,4.514324727225446
Multi-Country,"Middle East, North Africa, Afghanistan & Pakistan",3.197956745920262,3.943321158108061
Latam,Mexico,1.629817162427378,4.623659372329711
Multi-Country,OECD members,1.721490201956215,5.010629738078398
Latam,Peru,4.177745399150711,3.457878894276089
Europe,Portugal,1.012605661336741,4.959691882133485
