Year,GDP_Billions_GBP,GDP_Growth_Pct
1985,414.41,
1986,446.62,7.8
1987,496.12,11.1
1988,555.59,11.9
1989,614.51,10.6
1990,668.92,8.9
1991,705.45,5.5
1992,730.56,3.6
1993,769.14,5.3
1994,809.47,5.2
1995,850.18,5.0
1996,911.19,7.2
1997,953.95,4.7
1998,998.50,4.7
1999,1043.00,4.5
2000,1105.00,5.9
2001,1151.00,4.1
2002,1195.00,3.8
2003,1263.00,5.7
2004,1327.00,5.1
2005,1403.00,5.7
2006,1478.00,5.3
2007,1552.00,5.0
2008,1602.00,3.2
2009,1559.00,-2.7
2010,1616.00,3.7
2011,1670.00,3.3
2012,1722.00,3.1
2013,1789.00,3.9
2014,1875.00,4.8
2015,1928.00,2.8
2016,2005.00,4.0
2017,2097.00,4.6
2018,2172.00,3.6
2019,2253.00,3.7
2020,2125.00,-5.7
2021,2323.00,9.3
2022,2581.00,11.1
2023,2752.00,6.6
2024,2884.00,4.8
